scenario,year,avg_loan_book_usd,protocol_fee_apr,gross_fees_usd,to_lenders_usd,to_treasury_usd,to_safety_usd
Low,1,8000000.0,0.02,160000.0,128000.0,24000.0,8000.0
Low,2,12000000.0,0.02,240000.0,192000.0,36000.0,12000.0
Low,3,18000000.0,0.02,360000.0,288000.0,54000.0,18000.0
Low,4,25000000.0,0.02,500000.0,400000.0,75000.0,25000.0
Low,5,35000000.0,0.02,700000.0,560000.0,105000.0,35000.0
Base,1,15000000.0,0.025,375000.0,300000.0,56250.0,18750.0
Base,2,30000000.0,0.025,750000.0,600000.0,112500.0,37500.0
Base,3,55000000.0,0.025,1375000.0,1100000.0,206250.0,68750.0
Base,4,85000000.0,0.025,2125000.0,1700000.0,318750.0,106250.0
Base,5,120000000.0,0.025,3000000.0,2400000.0,450000.0,150000.0
High,1,25000000.0,0.03,750000.0,600000.0,112500.0,37500.0
High,2,55000000.0,0.03,1650000.0,1320000.0,247500.0,82500.0
High,3,100000000.0,0.03,3000000.0,2400000.0,450000.0,150000.0
High,4,160000000.0,0.03,4800000.0,3840000.0,720000.0,240000.0
High,5,240000000.0,0.03,7200000.0,5760000.0,1080000.0,360000.0
