scenario,month,price_usd,fdv_usd,market_cap_usd
Bear,0,0.15,150000000.0,7575000.0
Bear,1,0.1493602021833659,149360202.1833659,10467660.836350894
Bear,2,0.14872313330837292,148723133.3083729,13335507.619984105
Bear,3,0.14808878173521506,148088781.73521507,16178699.404572245
Bear,4,0.14745713587373377,147457135.87373376,18997394.338399366
Bear,5,0.14682818418320623,146828184.18320623,21791749.669190858
Bear,6,0.14620191517213443,146201915.17213443,25877738.985467795
Bear,7,0.1455783173980354,145578317.3980354,28921559.0564097
Bear,8,0.1449573794672319,144957379.4672319,31938942.60928009
Bear,9,0.14433909003464432,144339090.0346443,34930059.78838392
Bear,10,0.14372343780358351,143723437.8035835,36098536.79500006
Bear,11,0.14311041152554432,143110411.52554432,37256410.46715004
Bear,12,0.1425,142500000.0,40541250.0
Bear,13,0.1418921920741976,141892192.0741976,41712363.02003425
Bear,14,0.14128697664295428,141286976.6429543,42872748.13465647
Bear,15,0.1406843426484543,140684342.6484543,44022475.553745486
Bear,16,0.14008427908004706,140084279.08004707,45161615.08341739
Bear,17,0.1394867749740459,139486774.9740459,46290236.1281924
Bear,18,0.1388918194135277,138891819.4135277,47408407.69315079
Bear,19,0.13829940152813364,138299401.52813363,48516198.38607776
Bear,20,0.13770951049387029,137709510.4938703,49613676.41959716
Bear,21,0.13712213553291208,137122135.53291208,50700909.613294244
Bear,22,0.13653726591340434,136537265.91340435,51777965.395827666
Bear,23,0.1359548909492671,135954890.94926712,52844910.80703041
Bear,24,0.135375,135375000.0,53901812.49999999
Bear,25,0.1347975824704877,134797582.4704877,54948736.74317797
Bear,26,0.13422262781080654,134222627.81080654,55985749.42241864
Bear,27,0.1336501255160316,133650125.5160316,57012916.043047145
Bear,28,0.13308006512604473,133080065.12604472,58030301.73190694
Bear,29,0.1325124362253436,132512436.22534359,59037971.23939683
Bear,30,0.13194722844285134,131947228.44285133,60035988.941497356
Bear,31,0.13138443145172696,131384431.45172696,60750701.27626242
Bear,32,0.13082403496917677,130824034.96917677,61458224.42774215
Bear,33,0.13026602875626647,130266028.75626647,62158606.72153182
Bear,34,0.12971040261773412,129710402.61773412,62851896.20177094
Bear,35,0.12915714640180373,129157146.40180373,63538140.63266512
Bear,36,0.12860624999999998,128606249.99999997,64217387.499999985
Bear,37,0.12805770334696331,128057703.34696332,64889684.01264735
Bear,38,0.1275114964202662,127511496.42026621,65555077.104063526
Bear,39,0.12696761924022998,126967619.24022998,66213613.43377993
Bear,40,0.12642606186974245,126426061.86974245,66865339.388886005
Bear,41,0.1258868144140764,125886814.4140764,67510301.08550441
Bear,42,0.12534986702070874,125349867.02070874,68148544.37025866
Bear,43,0.12481520987914059,124815209.87914059,68780114.82173309
Bear,44,0.12428283322071791,124282833.2207179,69405057.75192535
Bear,45,0.12375272731845315,123752727.31845315,70023418.2076914
Bear,46,0.1232248824868474,123224882.4868474,70635240.97218286
Bear,47,0.12269928908171354,122699289.08171354,71240570.56627712
Bear,48,0.12217593749999997,122175937.49999997,71839451.24999999
Bear,49,0.12165481817961514,121654818.17961514,71756066.922943
Bear,50,0.1211359215992529,121135921.59925291,71672086.94622463
Bear,51,0.1206192382782185,120619238.2782185,71587517.91812268
Bear,52,0.12010475877625534,120104758.77625534,71502366.39146402
Bear,53,0.11959247369337259,119592473.69337259,71416638.87389232
Bear,54,0.11908237366967332,119082373.66967332,71330341.82813431
Bear,55,0.11857444938518356,118574449.38518356,71243481.67226446
Bear,56,0.11806869155968203,118068691.55968203,71156064.77996837
Bear,57,0.1175650909525305,117565090.9525305,71068097.48080468
Bear,58,0.11706363836250504,117063638.36250503,70979586.06046556
Bear,59,0.11656432462762786,116564324.62762786,70890536.76103568
