Months,Vol 30% Mean PV,Vol 30% P1 PV,Vol 30% P5 PV,Vol 30% P10 PV,Vol 30% ES5 PV,Vol 30% Policy Borrow,Vol 30% Policy Debt,Vol 30% Shortfall Prob,Vol 30% Max Borrow @ Coverage,Vol 50% Mean PV,Vol 50% P1 PV,Vol 50% P5 PV,Vol 50% P10 PV,Vol 50% ES5 PV,Vol 50% Policy Borrow,Vol 50% Policy Debt,Vol 50% Shortfall Prob,Vol 50% Max Borrow @ Coverage,Vol 70% Mean PV,Vol 70% P1 PV,Vol 70% P5 PV,Vol 70% P10 PV,Vol 70% ES5 PV,Vol 70% Policy Borrow,Vol 70% Policy Debt,Vol 70% Shortfall Prob,Vol 70% Max Borrow @ Coverage
0,10000.0,10000.0,10000.0,10000.0,10000.0,3500.0,3710.0,0.0,8576.0,10000.0,10000.0,10000.0,10000.0,10000.0,3500.0,3710.0,0.0,8576.0,10000.0,10000.0,10000.0,10000.0,10000.0,3500.0,3710.0,0.0,8576.0
3,9991.0,6961.0,7703.0,8128.0,7261.0,2696.0,2858.0,0.0,6606.0,9946.0,5391.0,6415.0,7036.0,5775.0,2245.0,2380.0,0.0,5502.0,9987.0,4126.0,5267.0,5999.0,4593.0,1844.0,1954.0,0.0,4518.0
6,10016.0,5906.0,6881.0,7465.0,6303.0,2408.0,2553.0,0.0,5901.0,9950.0,4047.0,5226.0,5948.0,4546.0,1829.0,1939.0,0.0,4482.0,10013.0,2778.0,3802.0,4676.0,3179.0,1331.0,1411.0,0.0,3261.0
9,9941.0,5306.0,6304.0,6856.0,5681.0,2206.0,2339.0,0.0,5406.0,9991.0,3349.0,4465.0,5223.0,3802.0,1563.0,1656.0,0.0,3829.0,10047.0,2044.0,3088.0,3823.0,2464.0,1081.0,1146.0,0.0003,2649.0
12,9993.0,4767.0,5877.0,6562.0,5173.0,2057.0,2180.0,0.0,5040.0,10066.0,2653.0,3825.0,4621.0,3145.0,1339.0,1419.0,0.0002,3281.0,9958.0,1556.0,2450.0,3161.0,1899.0,857.0,909.0,0.0007,2101.0
15,10008.0,4317.0,5422.0,6159.0,4758.0,1898.0,2012.0,0.0,4650.0,10064.0,2458.0,3481.0,4244.0,2839.0,1219.0,1292.0,0.0003,2986.0,10254.0,1207.0,2089.0,2759.0,1549.0,731.0,775.0,0.0019,1791.0
18,10003.0,4028.0,5049.0,5774.0,4395.0,1767.0,1873.0,0.0,4330.0,9946.0,2023.0,3058.0,3749.0,2424.0,1070.0,1134.0,0.0005,2622.0,9912.0,929.0,1718.0,2335.0,1244.0,601.0,637.0,0.0032,1474.0
21,10032.0,3648.0,4815.0,5586.0,4114.0,1685.0,1786.0,0.0,4129.0,9994.0,1713.0,2706.0,3456.0,2106.0,947.0,1004.0,0.0006,2321.0,10035.0,804.0,1434.0,2003.0,1046.0,502.0,532.0,0.0027,1230.0
24,10017.0,3456.0,4544.0,5308.0,3864.0,1591.0,1686.0,0.0,3897.0,9990.0,1517.0,2440.0,3104.0,1869.0,854.0,905.0,0.001,2092.0,9985.0,592.0,1224.0,1750.0,847.0,428.0,454.0,0.0046,1050.0
27,10099.0,3237.0,4342.0,5132.0,3698.0,1520.0,1611.0,0.0,3724.0,9919.0,1298.0,2220.0,2927.0,1674.0,777.0,823.0,0.0015,1904.0,9952.0,514.0,1038.0,1516.0,721.0,363.0,385.0,0.004,890.0
30,9995.0,2853.0,3998.0,4836.0,3329.0,1399.0,1483.0,0.0002,3429.0,9846.0,1190.0,1973.0,2671.0,1492.0,691.0,732.0,0.0021,1692.0,9942.0,444.0,863.0,1294.0,599.0,302.0,320.0,0.0035,740.0
33,10052.0,2789.0,3951.0,4698.0,3241.0,1383.0,1466.0,0.0003,3388.0,10044.0,1044.0,1810.0,2427.0,1338.0,633.0,671.0,0.0022,1552.0,9874.0,324.0,743.0,1147.0,494.0,260.0,276.0,0.0071,637.0
36,9979.0,2563.0,3628.0,4445.0,2990.0,1270.0,1346.0,0.0,3112.0,10063.0,932.0,1667.0,2265.0,1216.0,583.0,618.0,0.0025,1429.0,9868.0,280.0,639.0,1007.0,415.0,224.0,237.0,0.0074,548.0
